OrderID,CustomerID,CustomerName,Age,City,Category,UnitPrice,Quantity,OrderDate,PaymentMethod,Rating
ORD10490,CUST1050,Mia Kumar,69.0,DELHI,Beauty,15.57,5,2024-07-02,credit card,2.0
ORD10430,CUST1210,Aisha Khan,60.0,Chicago,Books,361.53,-1,2024-12-11,Cash,4.0
ORD10083,CUST1083,Sara Garcia,39.0,DELHI,Grocery,147.67,5,20/02/2025,CASH,5.0
ORD10121,CUST1121,Neha Ali,60.0,London,Home & Kitchen,344.98,-1,2024-02-04,Credit Card,
ORD10222,CUST1002,David Reddy,38.0,Chicago,Home & Kitchen,153.44,2,2025-01-21,Net Banking,4.0
ORD10148,CUST1148,Aisha Garcia,64.0,Mumbai,Toys,185.33,2,2025-05-11,Cash,5.0
ORD10033,CUST1033,Neha Gupta,20.0,London,Home & Kitchen,320.37,3,2024-03-23,credit card,4.0
ORD10386,CUST1166,Anna Sharma,70.0,Bangalore ,Grocery,169.33,-1,2025-01-01,credit card,3.0
ORD10201,CUST1201,Mia Garcia,44.0,Toronto,Beauty,379.18,3,2024-06-13,UPI,
ORD10482,CUST1042,John Nair,31.0,Chicago,Sports,393.93,-1,2024-07-09,Cash,
ORD10296,CUST1076,Sophia Iyer,28.0,Bangalore,Sports,387.8,1,26/04/2024,credit card,5.0
ORD10262,CUST1042,Carlos Brown,35.0,Singapore,Clothing,400.75,2,2024-07-06,UPI,2.0
ORD10434,CUST1214,Liam Garcia,57.0,New York,Home & Kitchen,363.47,4,2025-04-17,Cash,5.0
ORD10475,CUST1035,Neha Reddy,58.0,New York,Books,243.42,2,2025-02-16,Credit Card,4.0
ORD10460,CUST1020,Sara Ali,,Bangalore ,Sports,97.64,3,2024-05-01,UPI,4.0
ORD10458,CUST1018,Raj Davis,,Bangalore,Electronics,265.24,5,2024-09-01,Net Banking,1.0
ORD10356,CUST1136,Priya Iyer,,Bangalore ,Beauty,174.87,2,2024-12-17,Net Banking,
ORD10467,CUST1027,Tom Patel,,New York,Grocery,317.7,2,2025-03-20,Debit Card,
ORD10116,CUST1116,Tom Kumar,,Delhi,Grocery,254.4,1,2025-01-07,CASH,
ORD10404,CUST1184,Anna Lee,,Dubai,Grocery,498.33,1,2024-02-28,credit card,3.0
ORD10014,CUST1014,Arjun Garcia,50.0,Bangalore ,Sports,421.63,2,2024-03-19,UPI,
ORD10275,CUST1055,Wei Johnson,27.0,Bangalore ,Beauty,381.93,5,2024-09-07,Debit Card,5.0
ORD10309,CUST1089,Tom Clark,65.0,Pune,Clothing,233.71,2,2024-03-03,Credit Card,1.0
ORD10486,CUST1046,Priya Clark,51.0,New York,Grocery,321.07,2,2024-07-03,Credit Card,
ORD10337,CUST1117,Sophia Iyer,33.0,New York,Clothing,200.43,1,2024-09-14,Net Banking,5.0
ORD10498,CUST1058,Neha Kumar,68.0,Bangalore ,Sports,266.87,1,2025-03-03,UPI,1.0
ORD10133,CUST1133,David Singh,36.0,Chicago,Electronics,483.27,2,2025-02-14,Net Banking,4.0
ORD10376,CUST1156,Fatima Ali,40.0,Singapore,Sports,439.85,1,2024-07-09,CASH,3.0
ORD10260,CUST1040,Fatima Johnson,51.0,Dubai,Home & Kitchen,168.84,5,2025-05-05,Cash,2.0
ORD10269,CUST1049,Lisa Garcia,67.0,Singapore,Grocery,277.11,1,2024-10-20,Credit Card,3.0
ORD10279,CUST1059,Sophia Ali,61.0,Mumbai,Clothing,314.96,-1,2024-01-09,Credit Card,
ORD10497,CUST1057,Amit Smith,31.0,Bangalore ,Clothing,236.69,1,2024-07-03,Net Banking,
ORD10302,CUST1082,John Ali,18.0,Bangalore ,Sports,56.45,2,2024-08-02,Cash,1.0
ORD10147,CUST1147,Arjun Sharma,60.0, Pune,Home & Kitchen,300.64,2,2024-03-24,Debit Card,
ORD10026,CUST1026,Priya Ali,21.0,Singapore,Grocery,253.91,2,2024-01-30,Net Banking,1.0
ORD10485,CUST1045,Sara Reddy,60.0,Toronto,Toys,342.31,3,2025-04-24,UPI,2.0
ORD10314,CUST1094,Raj Davis,26.0,Pune,Beauty,317.22,1,2024-07-14,CASH,
ORD10247,CUST1027,David Patel,64.0,Pune,Home & Kitchen,344.23,2,2024-03-12,UPI,3.0
ORD10347,CUST1127,Liam Smith,29.0,Bangalore ,Beauty,419.3,2,2024-01-17,Cash,1.0
ORD10223,CUST1003,Emma Lee,63.0, Pune,Grocery,457.8,5,2025-05-10,Cash,5.0
ORD10419,CUST1199,Emma Singh,35.0,Bangalore,Books,439.55,-1,2024-08-16,UPI,
ORD10052,CUST1052,Amit Singh,44.0,Dubai,Grocery,210.81,2,2025-03-02,Cash,4.0
ORD10259,CUST1039,Tom Wilson,38.0,New York,Electronics,406.04,1,2024-01-12,CASH,3.0
ORD10428,CUST1208,Amit Reddy,34.0,Pune,Toys,179.68,4,2024-09-06,CASH,4.0
ORD10041,CUST1041,Arjun Khan,,Pune,Sports,26.97,5,2024-01-01,Net Banking,
ORD10090,CUST1090,John Lee,64.0,Bangalore ,Grocery,433.3,-1,2024-10-02,Cash,3.0
ORD10207,CUST1207,Wei Nair,38.0,Mumbai,Sports,194.87,-1,2025-01-20,UPI,3.0
ORD10240,CUST1020,Priya Garcia,38.0,Pune,Home & Kitchen,377.37,5,2025-04-20,Credit Card,3.0
ORD10483,CUST1043,Mohammed Patel,66.0,Mumbai,Sports,388.95,1,2024-10-05,Cash,2.0
ORD10239,CUST1019,Priya Johnson,,Toronto,Sports,28.05,1,2024-12-16,UPI,5.0
ORD10480,CUST1040,Wei Lee,25.0,Singapore,Grocery,139.71,-1,2024-04-06,UPI,1.0
ORD10311,CUST1091,Amit Brown,59.0, Pune,Home & Kitchen,50.53,4,2024-03-03,Credit Card,4.0
ORD10004,CUST1004,Mohammed Gupta,27.0, Pune,Books,55.59,5,2024-02-19,UPI,
ORD10180,CUST1180,Mia Lee,59.0,Toronto,Beauty,403.32,5,2024-06-01,Cash,1.0
ORD10249,CUST1029,Sophia Moore,57.0,Toronto,Clothing,72.07,1,2025-04-30,Cash,3.0
ORD10293,CUST1073,Amit Singh,25.0,Singapore,Electronics,158.1,2,2024-03-02,Credit Card,
ORD10066,CUST1066,Raj Clark,18.0,Pune,Clothing,124.47,5,2024-09-07,Net Banking,
ORD10139,CUST1139,Priya Sharma,41.0,Delhi,Clothing,309.43,5,2024-08-24,Net Banking,5.0
ORD10437,CUST1217,Neha Reddy,44.0,Bangalore ,Electronics,350.33,5,2024-04-27,CASH,4.0
ORD10304,CUST1084,Arjun Chen,58.0,Delhi,Electronics,220.32,2,2024-05-01,UPI,3.0
ORD10114,CUST1114,Wei Chen,52.0, Pune,Home & Kitchen,59.41,1,2024-03-08,Credit Card,3.0
ORD10469,CUST1029,Mohammed Lee,63.0,Singapore,Toys,139.27,-1,2025-02-03,CASH,3.0
ORD10169,CUST1169,Arjun Kumar,43.0,mumbai,Sports,128.56,1,2024-01-14,credit card,2.0
ORD10102,CUST1102,Lisa Johnson,56.0,Pune,Beauty,312.34,2,2024-11-17,Credit Card,
ORD10373,CUST1153,Mohammed Johnson,18.0,mumbai,Clothing,453.91,-1,2024-03-17,Credit Card,
ORD10214,CUST1214,John Brown,55.0,Mumbai,Toys,175.54,1,2024-10-04,Credit Card,1.0
ORD10406,CUST1186,John Reddy,70.0,Dubai,Grocery,245.97,3,2025-04-04,credit card,2.0
ORD10341,CUST1121,Liam Iyer,66.0,Delhi,Clothing,393.94,4,2025-03-25,Cash,3.0
ORD10461,CUST1021,Mohammed Kumar,29.0,Chicago,Beauty,212.45,4,2024-07-05,CASH,4.0
ORD10338,CUST1118,Aisha Chen,25.0,Bangalore,Home & Kitchen,486.22,2,2024-03-05,Credit Card,4.0
ORD10452,CUST1012,Tom Wilson,55.0,Toronto,Clothing,132.62,5,2024-11-20,CASH,2.0
ORD10194,CUST1194,,62.0,Chicago,Grocery,437.04,1,2024-12-27,Debit Card,5.0
ORD10061,CUST1061,Emma Khan,62.0,Bangalore ,Clothing,399.13,1,2024-06-26,Net Banking,4.0
ORD10417,CUST1197,Mohammed Kumar,26.0,,Sports,311.66,2,2024-06-11,Cash,4.0
ORD10315,CUST1095,Mia Nair,,Dubai,Books,197.25,2,2024-01-14,UPI,5.0
ORD10119,CUST1119,Mohammed Davis,56.0,New York,Grocery,255.25,5,2024-02-20,CASH,
ORD10370,CUST1150,John Lee,44.0,mumbai,Sports,313.28,2,2024-08-02,CASH,1.0
ORD10426,CUST1206,Anna Davis,48.0,Mumbai,Electronics,490.39,4,2024-02-22,credit card,5.0
ORD10110,CUST1110,Sophia Moore,44.0,Mumbai,Books,112.55,-1,2025-05-01,Debit Card,
ORD10348,CUST1128,Carlos Gupta,41.0,,Toys,319.53,1,2024-12-14,Credit Card,2.0
ORD10450,CUST1010,David Iyer,18.0,Bangalore,Toys,255.59,1,2024-09-14,UPI,3.0
ORD10362,CUST1142,Fatima Ali,58.0,Mumbai,Grocery,140.4,2,2024-10-22,CASH,2.0
ORD10091,CUST1091,Mia Davis,47.0,Bangalore ,Beauty,490.48,2,2024-10-19,Cash,2.0
ORD10156,CUST1156,,22.0,Bangalore ,Grocery,300.39,1,2024-11-19,Net Banking,5.0
ORD10264,CUST1044,Fatima Lee,,Delhi,Home & Kitchen,160.03,2,2024-06-05,Credit Card,2.0
ORD10307,CUST1087,Tom Gupta,25.0,Bangalore,Sports,414.06,1,2024-04-20,CASH,
ORD10031,CUST1031,Mia Lee,60.0,Bangalore,Sports,62.14,1,2025-01-15,Net Banking,2.0
ORD10023,CUST1023,Amit Wilson,69.0,Delhi,Electronics,327.81,1,2025-05-11,Credit Card,
ORD10306,CUST1086,Wei Khan,28.0,Toronto,Books,206.22,4,2025-05-08,CASH,2.0
ORD10032,CUST1032,Aisha Brown,63.0,Pune,Sports,255.18,3,2025-04-08,CASH,1.0
ORD10238,CUST1018,John Garcia,23.0,Bangalore ,Toys,324.23,4,2024-10-16,CASH,1.0
ORD10327,CUST1107,John Sharma,42.0,DELHI,Toys,484.71,5,2024-09-09,Cash,3.0
ORD10053,CUST1053,Liam Smith,,Chicago,Grocery,7.92,4,2024-06-01,CASH,4.0
