OrderID,CustomerID,CustomerName,Age,City,Category,UnitPrice,Quantity,OrderDate,PaymentMethod,Rating,TotalAmount
ORD10490,CUST1050,Mia Kumar,69,Delhi,Beauty,15.57,5,2024-07-02,Credit Card,2,77.85
ORD10083,CUST1083,Sara Garcia,39,Delhi,Grocery,147.67,5,2025-02-20,Cash,5,738.35
ORD10222,CUST1002,David Reddy,38,Chicago,Home & Kitchen,153.44,2,2025-01-21,Net Banking,4,306.88
ORD10148,CUST1148,Aisha Garcia,64,Mumbai,Toys,185.33,2,2025-05-11,Cash,5,370.66
ORD10033,CUST1033,Neha Gupta,20,London,Home & Kitchen,320.37,3,2024-03-23,Credit Card,4,961.11
ORD10201,CUST1201,Mia Garcia,44,Toronto,Beauty,379.18,3,2024-06-13,Upi,,1137.54
ORD10296,CUST1076,Sophia Iyer,28,Bangalore,Sports,387.8,1,2024-04-26,Credit Card,5,387.8
ORD10262,CUST1042,Carlos Brown,35,Singapore,Clothing,400.75,2,2024-07-06,Upi,2,801.5
ORD10434,CUST1214,Liam Garcia,57,New York,Home & Kitchen,363.47,4,2025-04-17,Cash,5,1453.88
ORD10475,CUST1035,Neha Reddy,58,New York,Books,243.42,2,2025-02-16,Credit Card,4,486.84
ORD10460,CUST1020,Sara Ali,44,Bangalore,Sports,97.64,3,2024-05-01,Upi,4,292.92
ORD10458,CUST1018,Raj Davis,44,Bangalore,Electronics,265.24,5,2024-09-01,Net Banking,1,1326.2
ORD10356,CUST1136,Priya Iyer,44,Bangalore,Beauty,174.87,2,2024-12-17,Net Banking,,349.74
ORD10467,CUST1027,Tom Patel,44,New York,Grocery,317.7,2,2025-03-20,Debit Card,,635.4
ORD10116,CUST1116,Tom Kumar,44,Delhi,Grocery,254.4,1,2025-01-07,Cash,,254.4
ORD10404,CUST1184,Anna Lee,44,Dubai,Grocery,498.33,1,2024-02-28,Credit Card,3,498.33
ORD10014,CUST1014,Arjun Garcia,50,Bangalore,Sports,421.63,2,2024-03-19,Upi,,843.26
